"API and filesystem objectID","TMS report objectID","API and filesystem object number","TMS report object number","Title","Creator","dept","location on DRMC","has files","number of files","has dg component","component number"
"159761","159761","571.2012","571.2012","Desire, Inc","Hershman Leeson Lynn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hershman_Lynn---DesireInc---571_2012---159761","Yes","24","Yes","571.2012.DG"
"146186","146186","131.2011","131.2011","Practice Makes a Master 09","Ivekovic Sanja","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Ivekovic_Sanja---PracticeMakesaMaster09---131_2011---146186","Yes","2","Yes","131.2011.DG"
"120588","120588","551.1984","551.1984","New Frontier","Fagen Donald","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Fagen_Donald---New_Frontier---551.1984---120588","Yes","1","Yes","551.1984.DG"
"118395","","1342.1999.2","","Amoeba","Reinke Steve","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Reinke_Steve---Amoeba---1342.1999.2---118395","Yes","1","No",""
"122024","122024","1170.2008","1170.2008","Soziale Plastik (Social Sculpture)","Mommartz Lutz","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Mommartz_Lutz---SozialePlastik---1170_2008---122024","Yes","1","Yes","1170.2008.DG"
"119964","","1184.2007-1388.2007","","Super 8 Films 1975-1989","Signer Roman","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Signer_Roman---Super8Films---1184.2007-1388.2007---119964","Yes","219","No",""
"132420","132420","1653.2009","1653.2009","Green Pink Caviar","Minter Marilyn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Minter_Marilyn---PinkGreenCaviar---1653_2009---132420","Yes","5","Yes","1653.2009.DG"
"147269","147269","529.2011","529.2011","Sink","Snow Michael","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Snow_Michael---Sink---529.2011---147269","Yes","80","Yes","529.2011.DG"
"116119","","264.2008.a-c","","Miniature in Black and White","McCall Anthony","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/McCall_Anthony---Miniature_in_Black_and_White---264.2008.a-c---116119","Yes","16","No",""
"87291","87291","424.2002.a-nnn","424.2002.a-nnn","The Forty Part Motet","Cardiff Janet","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cardiff_Janet---40PartMotet---424_2002---87291","Yes","232800","Yes","424.2002.a-nnn.DG"
"109154","109154","197.2007.a-b","197.2007.a-b","Empire of the Senseless Part II","Haghighian Natascha Sadr","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Haghighian_Natascha---Sadr_Empire---197.2007.a-b---109154","Yes","7","Yes","197.2007.a-b.DG"
"159756","159756","568.2012","568.2012","Commercials for Forming a Sculpture Drama in Manhattan","Hershman Leeson Lynn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hershman_Lynn---Commercials---568_2012---159756","Yes","24","Yes","568.2012.DG"
"118298","118298","418.1991","418.1991","Passagens 1","Geiger Anna Bella","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Geiger_Anna_Bella---Passagens1---418.1991---118298","Yes","1","Yes","418.1991.DG"
"108909","108909","198.2007","198.2007","Rush Hour, Morning and Evening","Lewis Mark","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Lewis_Mark---RushHour---198_2007---108909","Yes","6595","Yes","198.2007.DG"
"118302","118302","366.1989","366.1989","Bum","Levine Les","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Levine_Les---Bum---366.1989---118302","Yes","1","Yes","366.1989.DG"
"128768","128768","1321.1999","1321.1999","Museum Highlights: A Gallery Talk","Fraser Andrea","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Fraser_Andrea---MuseumHighlights---1321_1999---128768","Yes","1","Yes","1321.1999.DG"
"126293","126293","67.2009","67.2009","Cumulus","Saraceno Tomas","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Saraceno_Tomas---Cumulus---67_2009---126293","Yes","9","Yes","67.2009.DG"
"159812","","606.2012","","Studien zu Passtücken","West Franz","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/West_Franz---Studien_zu_Passtucken---606.2012---159812","Yes","1","No",""
"122023","122023","1169.2008","1169.2008","Als waer's von Beckett (As if it was from Beckett)","Mommartz Lutz","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Mommartz_Lutz---AlsWaerVonBeckett---1169_2008---122023","Yes","1","Yes","1169.2008.DG"
"143768","143768","11.2011.1","11.2011.1","Serious Games I: Watson is Down","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---SeriousGamesIWatsonisDown---11_2011_1---143768","Yes","4","Yes","11.2011.1.DG"
"128933","128933","208.2007.1","208.2007.1","Subida (Going up)","Alÿs Francis","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Alys_Francis---WhenFaithMovesMountainsSubida---208_2007_1---128933","Yes","2","Yes","208.2007.1.DG"
"89008","89008","553.2004","553.2004","The Modern Procession","Alÿs Francis","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Alys_Francis---ModernProcession---553_2004---89008","Yes","26","Yes","553.2004.DG"
"159762","159762","572.2012","572.2012","Seduction of a Cyborg","Hershman Leeson Lynn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hershman_Lynn---SeductionofaCyborg---572.2012---159762","Yes","2","Yes","572.2012.DG"
"109016","109016","448.2002","448.2002","Angel Dust","Blake Jeremy","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Blake_Jeremy---AngelDust---448_2002---109016","Yes","7","Yes","448.2002.DG"
"147851","147851","502.2011","502.2011","A Day in the Life of the End Users","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---ADayintheLifeofEndUsers---502_2011---147851","Yes","2","Yes","502.2011.DG"
"120346","120346","662.1987","662.1987","Arcade","Blumenthal Lyn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Blumenthal_Lyn---Arcade---662.1987---120346","Yes","1","Yes","662.1987.DG"
"122010","122010","1158.2008","1158.2008","1st Light","Chan Paul","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Chan_Paul---1stLight---1158_2008---122010","Yes","2","Yes","1158.2008.DG"
"98806","98806","538.2004","538.2004","High Performance","Young Aaron","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Young_Aaron---HighPerformance---538_2004---98806","Yes","1","Yes","538.2004.DG"
"143772","143772","12.2011.1-10","12.2011.1-10","9 Scripts from a Nation at War","Geyer Andrea","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Geyer_Andrea---9ScriptsFrom aNationatWar---12_2011_1-10---143772","Yes","48","Yes","12.2011.1-10.DG"
"112205","112205","482.2003","482.2003","Face 7","Yongbin Li","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Yongbin_Li---Face7---482_2003---112205","Yes","1","Yes","482.2003.DG"
"162243","","806.2012","","Ten Thousand Waves","Julien Isaac","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Julien_Isaac---Ten_Thousand_Waves---806_2012---162243","Yes","43","No",""
"122872","122872","1168.2008","1168.2008","Long March: Restart","Mengbo Feng","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Mengbo_Feng---LongMarchRestart---1168_2008---122872","Yes","660","Yes","1168.2008.DG"
"117953","117953","262.2008","262.2008","Ride to da Club","Linzy Kalup","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Linzy_Kalup---RidetoDaClub---262_2008---117953","Yes","1","Yes","262.2008.DG"
"159783","","579.2012","","Film 18 Paris IV. 70","Lamelas David","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Lamelas_David---Film_18_Paris_iV._70---579.2012---159783","Yes","26","No",""
"136086","","383.2010","","Democracies","Zmijewski Artur","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Zmijewski_Artur---Democracies---383.2010---136086","Yes","380","No",""
"109127","109127","195.2007","195.2007","Revolution","Friedman Dara","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Friedman_Dara---Revolution---195_2007---109127","Yes","1","Yes","195.2007.DG"
"119306","119306","575.2008","575.2008","System of Tears","Kugimiya Yui","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Kugimaya_Yui---SystemofTears---575.2008---119306","Yes","2","Yes","575.2008.DG"
"159781","","578.2012","","Time As Activity - Düsseldorf","Lamelas David","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Lamelas_David---Time_as_Activity-Dusseldorf---578.2012---159781","Yes","4","No",""
"122027","122027","1173.2008","1173.2008","Selbstschuesse (Self shots)","Mommartz Lutz","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Mommartz_Lutz---Selbstchuesse---1173_2008---122027","Yes","1","Yes","1173.2008.DG"
"147846","147846","497.2011","497.2011","Indoctrination","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---Indoctrination---497_2011---147846","Yes","2","Yes","497.2011.DG"
"147863","147863","514.2011","514.2011","War at a Distance","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---WarataDistance---514_2011---147863","Yes","2","Yes","514.2011.DG"
"159764","","573.2012","","The Complete Electronic Diaries","Hershman Leeson Lynn","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hershman_Lynn---TheCompleteElectronicDiaries---573_2012---159764","Yes","24","No",""
"81737","81737","649.1997","649.1997","Stations","Viola Bill","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Viola_Bill---Stations---649_1997---81737","Yes","13","Yes","649.1997.DG"
"117948","117948","271.2008","271.2008","Field","Villareal Leo","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Villareal---Leo_Field---271_2008---117948","Yes","1078","Yes","271.2008.DG"
"98805","98805","536.2004","536.2004","Goodboy","Young Aaron","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Young_Aaron---Goodboy---536_2004---98805","Yes","1","Yes","536.2004.DG"
"129991","129991","CT24","CT24","New Video: Japan, Program 3","Furuhashi Teiji","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Furuhashi_Teiji---NewVideoJapanProgram3---CT24---129991","Yes","1","Yes","CT24.DG"
"130153","130153","CT157","CT157","Two Music Videos","Barry Judith","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Barry_Judith---Two_Music_Videos---CT157---130153","Yes","1","Yes","CT157.DG"
"147868","147868","519.2011","519.2011","Respite","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---Respite---519_2011---147868","Yes","2","Yes","519.2011.DG"
"147838","147838","489.2011","489.2011","The Words of the Chairman","Farocki Harun","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Farocki_Harun---TheWordsoftheChairman---489_2011---147838","Yes","2","Yes","489.2011.DG"
"110604","110604","1176.2007.a-j","1176.2007.a-j","mon.-sun.","Horowitz Jonathan","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Horowitz_Jonathan---Mon-Sun---1176.2007.a-j---110604","Yes","8","Yes","1176.2007.a-j.DG"
"148050","148050","525.2011","525.2011","Once in the XX Century","Narkevicius Deimantas","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Narkevicius_Deimantas---Once_in_the_XX_Century---525.2011---148050","Yes","4","Yes","525.2011.DG"
"118028","","276.2008.1-12","","Selected Works: Reel 2","Wegman William","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Wegman_William---Selected_Works_Reel_2---276.2008.1-12---118028","Yes","1","No",""
"116094","","274.2008.1-17","","Selected Works: Reel 5","Wegman William","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Wegman_William---Selected_Works_Reel_5---274.2008.1-17---116094","Yes","1","No",""
"118064","","273.2008.1-11","","Selected Works: Reel 6","Wegman William","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Wegman_William---Selected_Works_Reel_6---273.2008.1-11---118064","Yes","1","No",""
"110909","","449.2007","","Ramallah/New York","Jacir Emily","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Jacir_Emily---Ramallah:New_York---449.2007---110909","Yes","2","No",""
"109080","","805.2006","","Interiors","Aitken Doug","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Aitken_Doug---Interiors---805.2006---109080","Yes","12","No",""
"159603","159603","535.2012","535.2012","Untitled (Paper, light, and wall)","Cool Marie","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cool_Marie---Untitled_(Paper,_light,_and_wall)---535.2012---159603","Yes","4","Yes","535.2012.DG"
"173987","","873.2013","","Arbeit Macht Frei","Brisley Stuart","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Brisley_Stuart---Arbeit_Macht_Frei---873.2013---173987","Yes","4","No",""
"159777","","577.2012.1-2","","A Study of the Relationships Between inner and Outer Space","Lamelas David","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Lamelas_David---A_Study_of_the_Relationships_Between_inner_and_Outer_Space---577.2012.1-2---159777","Yes","17","No",""
"174945","","877.2013","","My Blue Sky - Samuel Beckett's Grave, Paris; Catacombs under Paris; Marfa Mix; Canal Street - Grand Central - Bronxville (paper tubes, drone, and pocket knife)","Vitiello Stephen","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Vitiello_Stephen---My_Blue_Sky-Samuel_Beckett's_Grave,_Paris;_Catacombs_under_Paris;_Marfa_Mix;_Canal_Street-Grand_Central-Bronxville_(paper tubes,_drone,_and_pocket_knife)---877.2013---174945","Yes","3","No",""
"130011","130011","CT40","CT40","Quest","Bourdon Luc","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Bourdon_Luc---Quest---CT40---130011","Yes","1","Yes","CT40.DG"
"129971","129971","CT218","CT218","Videos by Ximena Cuevas","Cuevas Ximena","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cuevas_Ximena---Videos_by_Ximena_Cuevas---CT218---129971","Yes","1","Yes","CT218.DG"
"118231","","580.1984","","Cubist's Fantasy II","Shinohara Yasuo","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Shinohara_Yasuo---Cubist's_Fantasy_II---580.1984---118231","Yes","1","No",""
"120605","","704.1981","","Tongues: Savage/Love","Clarke Shirley","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Clarke_Shirley---Tongues_Savage_Love---704.1981---120605","Yes","1","No",""
"120313","","742.1994","","Dromos Indiana: Biology and Mechanics","Torres Francesc","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Torres_Francesc---Dromos_Indiana_Biology_and_Mechanics---742.1994---120313","Yes","1","No",""
"142767","142767","1085.2010","1085.2010","It Will All End in Tears","Just Jesper","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Just_Jesper---It_Will_All_End_in_Tears---1085.2010---142767","Yes","1","Yes","1085.2010.DG"
"118228","","1132.1983","","My Father Sold Studebakers","Sweeney Skip","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Sweeney_Skip---My_Father_Sold_Studebakers---1132.1983---118228","Yes","1","No",""
"153240","153240","1139.2011","1139.2011","Rapture","Neshat Shirin","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Neshat_Shirin---Rapture---1139.2011---153240","Yes","2","Yes","1139.2011.DG"
"153242","","1141.2011","","Pressure (Flesh/Red)","Oursler Tony","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Oursler_Tony---Pressure_(Flesh:Red)---1141.2011---153242","Yes","1","No",""
"120568","120568","1293.1979","1293.1979","The Two of Triangles","Sturgeon John","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Sturgeon_John---The_Two_of_Triangles---1293.1979---120568","Yes","1","Yes","1293.1979.DG"
"120228","120228","1313.1999","1313.1999","Flow","Ching Yau","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Ching_Yau---Flow---1313.1999---120228","Yes","1","Yes","1313.1999.DG"
"120620","120620","1324.1999","1324.1999","Shut the Fuck Up","General Idea","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/General_Idea---Shut_the_Fuck_Up---1324.1999---120620","Yes","1","Yes","1324.1999.DG"
"120557","120557","1328.1999","1328.1999","Out of Phoenix Bridge","Hong Li","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hong_Li---Out_of_Phoenix_Bridge---1328.1999---120557","Yes","2","Yes","1328.1999.DG"
"107630","107630","1331.1999","1331.1999","Ohio to Giverny: Memory of Light","Lucier Mary","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Lucier_Mary---Ohio_to_Giverny_Memory_of_Light---1331.1999---107630","Yes","1","Yes","1331.1999.DG"
"118503","118503","1336.1999","1336.1999","Bossy Burger","McCarthy Paul","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/McCarthy_Paul---Bossy_Burger---1336.1999---118503","Yes","1","Yes","1336.1999.DG"
"118396","","1342.1999.3","","Ants and Bees","Reinke Steve","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Reinke_Steve---Ants_and_Bees---1342.1999.3---118396","Yes","1","No",""
"118397","","1342.1999.4","","Apology","Reinke Steve","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Reinke_Steve---Apology---1342.1999.4---118397","Yes","2","No",""
"118575","118575","1644.2000","1644.2000","UNION","Beck Stephen","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Beck_Stephen---UNION---1644.2000---118575","Yes","1","Yes","1644.2000.DG"
"131031","131031","1652.2009","1652.2009","I Thought It Was You","McNamara Ryan","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/McNamara_Ryan---I_Thought_It_Was_You---1652.2009---131031","Yes","1","Yes","1652.2009.DG"
"118590","118590","1670.2000","1670.2000","Measures of Distance","Hatoum Mona","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Hatoum_Mona---Measures_of_Distance---1670.2000---118590","Yes","1","Yes","1670.2000.DG"
"120360","120360","1671.2000","1671.2000","Conspiracy of Lies","Henricks Nelson","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Henricks_Nelson---Conspiracy_of_Lies---1671.2000---120360","Yes","1","Yes","1671.2000.DG"
"120359","120359","1672.2000","1672.2000","Shimmer","Henricks Nelson","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Henricks_Nelson---Shimmer---1672.2000---120359","Yes","1","Yes","1672.2000.DG"
"131026","131026","1645.2009","1645.2009","Orchard Document: May I Help You?","Fraser Andrea","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Fraser_Andrea---Orchard_Document_May_I_Help_You?---1645.2009---131026","Yes","0","Yes","1645.2009.DG"
"120279","120279","2641.2001","2641.2001","Not For Sale: Feminism and Art in the USA during the 1970s","Cottingham Laura","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cottingham_Laura---Not_For_Sale_Feminism_and_Art_in_the_USA_during_the_1970s---2641.2001---120279","Yes","1","Yes","2641.2001.DG"
"102865","","3504.2005.a-b","","Modern Navigation","Gehr Ernie","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Gehr_Ernie---Modern_Navigation---3504.2005.a-b---102865","Yes","2","No",""
"119075","119075","3512.2005","3512.2005","*Corpus Callosum","Snow Michael","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Snow_Michael---*Corpus_Callosum---3512.2005---119075","Yes","1","Yes","3512.2005.DG"
"129989","","CT21","","New Video: Japan, Program 2, pt. 1","Furuhashi Teiji","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Furuhashi_Teiji---New_Video_Japan,_Program_2,_pt._1---CT21---129989","Yes","1","No",""
"130038","","CT49","","Heroics: Definitions (New Canadian Narrative)","Diamond Sara","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Diamond_Sara---Heroics_Definitions_(New_Canadian_Narrative)---CT49---130038","Yes","1","No",""
"130188","130188","CT135","CT135","Videoworks of Mindy Faber 1985 - 1995","Faber Mindy","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Faber_Mindy---Videoworks_of_Mindy_Faber_1985_-_1995---CT135---130188","Yes","1","Yes","CT135.DG"
"130189","130189","CT136","CT136","Videoworks of Lynda Benglis, Vol. II","Benglis Lynda","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Benglis_Lynda---Videoworks_of_Lynda_Benglis,_Vol._II---CT136---130189","Yes","1","Yes","CT136.DG"
"130147","130147","CT151","CT151","Steina and Woody Vasulka Compilation II","Cuevas Ximena","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Cuevas_Ximena---Steina_and_Woody_Vasulka_Compilation_II---CT151---130147","Yes","1","Yes","CT151.DG"
"130149","130149","CT153","CT153","Steina Vasulka Compilation II","Steina","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Steina---Steina_Vasulka_Compilation_II---CT153---130149","Yes","1","Yes","CT153.DG"
"166942","","F2013.11","","Uh-Oh!","Zando Julie","Film","/Volumes/drmc/Collections_materials/Media_Performance_Art/Zando_Julie---Uh-Oh!---F2013.11---166942","Yes","1","No",""
"167228","167228","225.2013","225.2013","Broken Off","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Broken_Off---225.2013---167228","Yes","1","Yes","225.2013.DG"
"167264","167264","234.2013","234.2013","For Example: Decorated","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---For_Example_Decorated---234.2013---167264","Yes","1","Yes","234.2013.DG"
"167275","167275","245.2013","245.2013","How Far is There: Part Two of Hearts and Helicopters","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---How_Far_is_There_Part_Two_of_Hearts_and_Helicopters---245.2013---167275","Yes","1","Yes","245.2013.DG"
"167272","167272","242.2013","242.2013","Nothing to Lose (The Book)","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Nothing_to_Lose_(The_Book)---242.2013---167272","Yes","0","Yes","242.2013.DG"
"167267","167267","237.2013","237.2013","Plowman's Lunch","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Plowman's_Lunch---237.2013---167267","Yes","1","Yes","237.2013.DG"
"167271","167271","241.2013","241.2013","Reading Lips","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Reading_Lips---241.2013---167271","Yes","1","Yes","241.2013.DG"
"167230","167230","226.2013","226.2013","Shifted from the Side","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Shifted_from_the_Side---226.2013---167230","Yes","1","Yes","226.2013.DG"
"167277","167277","247.2013","247.2013","Some Things History Don't Support","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Some_Things_History_Don't_Support---247.2013---167277","Yes","1","Yes","247.2013.DG"
"167269","167269","239.2013","239.2013","Niets aan Verloren/Nothing to Lose","Weiner Lawrence","Media and Performance Art","/Volumes/drmc/Collections_materials/Media_Performance_Art/Weiner_Lawrence---Niets_aan_Verloren:Nothing_to_Lose---239.2013---167269","Yes","1","Yes","239.2013.DG"
